unixtime,datetime,TARGET LOCATION,TARGET LAT,TARGET LON,TARGET DISTANCE[km],TARGET TYPHOON,TARGET TY LAT,TARGET TY LON,TPGSHIP LAT,TPGSHIP LON,TPG_TY DISTANCE[km],BRANCH CONDITION,TPGSHIP STATUS,SHIP SPEED[kt],TIMESTEP POWER GENERATION[Wh],TOTAL GENE TIME[h],TOTAL POWER GENERATION[Wh],TIMESTEP POWER CONSUMPTION[Wh],TOTAL CONS TIME[h],TOTAL POWER CONSUMPTION[Wh],ONBOARD POWER STORAGE PER[%],ONBOARD POWER STORAGE STATUS,ONBOARD ENERGY STORAGE[Wh],YEARLY POWER GENERATION BALANCE
1577836800,2020-01-01T00:00:00.000000+0000,base station,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0,,start forecast,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
1577858400,2020-01-01T06:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
1577880000,2020-01-01T12:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
1577901600,2020-01-01T18:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
1577923200,2020-01-02T00:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
1577944800,2020-01-02T06:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
1577966400,2020-01-02T12:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
1577988000,2020-01-02T18:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
1578009600,2020-01-03T00:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
1578031200,2020-01-03T06:00:00.000000+0000,Standby position,24.0,153.0,0.0,0,0.0,0.0,24.0,153.0, ,arrival at standby position,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,1,6000000000.0,0.0
