STORAGE[GWh],2017 POWER GENERATION[GWh],2018 POWER GENERATION[GWh],2019 POWER GENERATION[GWh],2020 POWER GENERATION[GWh],2021 POWER GENERATION[GWh],2022 POWER GENERATION[GWh]
5.0,63.601123059619134,72.29448213200854,89.69683106928451,47.83650891941511,71.54275130929132,62.54584709482999
10.0,91.095366270638,135.54616344855862,122.41964108152297,61.644574613575486,111.38938443770968,102.98097305486903
15.0,99.36147880800567,161.80109852726181,152.366211631246,80.14240566352193,155.86569245672092,117.8839217147957
20.0,109.0195827034855,200.40881556843334,174.1331370750599,98.09542837799557,173.340193272311,126.57064617608424
25.0,122.69142985254766,213.54274853931403,189.21574983199864,113.29995112326584,178.6927556278821,145.56912000132934
30.0,135.97942433441128,224.08197837480404,200.05033058451298,112.14834062480234,186.7210581376849,152.7478902299461
35.0,126.41131325565397,227.69060994529232,218.12052325520068,110.86996047782425,192.16386901910758,158.57310824013902
40.0,137.3182403913671,243.44030771808085,205.46223798453127,118.57822241470586,197.58262719948243,152.23304099277362
45.0,143.6397632585155,243.83902653491586,215.9879904897409,124.04761460409675,202.4906261118236,155.6055772265394
50.0,144.36562667763565,242.56428779258238,213.05530424091663,126.23343489911738,199.43173608223046,160.09626512668402
55.0,138.30402721480917,232.44367854697964,223.574019334149,136.63089161903503,203.3531509010354,154.79456737253278
60.0,141.64741142435594,238.34335440998098,228.8451695717673,138.89252662704445,198.61863232660485,152.10522145430494
65.0,141.47028063765626,245.89623911665777,217.5815490140157,128.26908386187822,198.10819864358112,153.90502656231894
70.0,131.8832687315188,244.45076047683736,228.72792996333447,127.85027665340097,197.61070134969071,154.37230481025577
75.0,132.59764865221598,257.3178663549464,240.20997816225986,127.44133295402075,197.12492082901883,158.0371751483645
80.0,145.86164822401406,244.59731542443086,247.96606838351678,127.04138435873092,196.6498255111149,162.5082221716191
85.0,151.86508653022244,244.06476346558938,242.20975487385178,126.64968804021282,196.18453299812757,165.8197408127935
90.0,155.42397841975733,253.25330441137356,238.46817826716423,126.26560230915159,195.7282810331252,160.58036787166915
95.0,143.91720472259755,253.05127221762652,240.05348532795523,125.88856801923808,195.280405411266,160.2206757236506
100.0,139.57848645605674,256.5231395468234,243.6379231759985,125.34495156147764,194.84032289643912,161.07735454699355
105.0,141.1231139408078,252.4149193413412,253.0522099113615,124.91230358177945,194.407517816273,161.81941930269855
110.0,140.68751397804508,246.454633204306,254.09143538679376,124.79513936595589,193.98153140657053,157.73477113816205
115.0,140.2584668803633,246.0193795897553,247.8950121331341,124.44192667138158,193.56195324229446,169.19965083509575
120.0,139.8355952695478,254.80813219520954,245.0716064891866,124.09379794164032,193.1484142738476,168.84384375580635
125.0,139.4185582343362,254.45318940974636,247.40077322164208,123.75047252179644,192.74058111377101,168.49294592852485
130.0,139.00704649542317,254.1029492379438,251.31465353024007,123.41169579789877,192.52705798688226,173.8964361866556
135.0,138.60077837211506,253.75717193963092,251.5827602898203,123.07723587653192,197.99451668167134,174.2457649829035
140.0,138.1994963930447,253.41563837934387,244.42546577362583,122.74688079459014,197.6199922794158,174.0692495416598
145.0,137.80296442884517,253.07814758592616,241.46663844906024,122.42043615875286,197.24990115992142,173.7655892580931
150.0,137.41096525122825,252.74451467504565,245.26377672354235,122.09772313599821,196.88404057973344,173.46540013797167
