YEAR,DWT[t],STORAGE[GWh],RATED OUTPUT[GW],STANDBY LAT,STANDBY LON,YEARLY POWER GENERATION[GWh],2018 POWER GENERATION[GWh]
2022,23491.98312236287,62.0,0.138,5,130,940.8771436292462,244.6188764728096
2022,23491.98312236287,62.0,0.138,5,135,941.2556099764666,244.74230124309673
2022,23491.98312236287,62.0,0.138,5,140,940.8985005261974,244.72933276667493
2022,23491.98312236287,62.0,0.138,5,145,940.617372298582,244.71109546725245
2022,23491.98312236287,62.0,0.138,5,150,939.6404695330443,244.6722981950816
2022,23491.98312236287,62.0,0.138,10,130,940.0080002560019,244.56753022114205
2022,23491.98312236287,62.0,0.138,10,135,940.5542272121148,244.70940689512614
2022,23491.98312236287,62.0,0.138,10,140,940.9191911100569,244.736299587537
2022,23491.98312236287,62.0,0.138,10,145,940.9710411754967,244.71719238444553
2022,23491.98312236287,62.0,0.138,10,150,940.2509580710034,244.69066916949035
2022,23491.98312236287,62.0,0.138,15,130,939.4497548386634,244.4373368775171
2022,23491.98312236287,62.0,0.138,15,135,940.806430003562,244.62015135082453
2022,23491.98312236287,62.0,0.138,15,140,940.755208567339,244.67826307014633
2022,23491.98312236287,62.0,0.138,15,145,940.98565719519,244.7249910693767
2022,23491.98312236287,62.0,0.138,15,150,940.5664418196878,244.67989175871992
2022,23491.98312236287,62.0,0.138,20,130,938.0361949870986,244.18651462714712
2022,23491.98312236287,62.0,0.138,20,135,939.4396811999267,244.43894313683148
2022,23491.98312236287,62.0,0.138,20,140,940.7223737645901,244.52412249828546
2022,23491.98312236287,62.0,0.138,20,145,940.6573724779003,244.6976837159347
2022,23491.98312236287,62.0,0.138,20,150,940.3909897033508,244.61206727229734
2022,24249.789029535867,64.0,0.138,5,130,945.2518842733757,245.52263067255458
2022,24249.789029535867,64.0,0.138,5,135,945.022141629996,245.64803695116598
2022,24249.789029535867,64.0,0.138,5,140,944.7081344267784,245.63480693570895
2022,24249.789029535867,64.0,0.138,5,145,944.4545516173747,245.61620183936557
2022,24249.789029535867,64.0,0.138,5,150,943.4853676027009,245.57687594877967
2022,24249.789029535867,64.0,0.138,10,130,944.4012079680747,245.47024890609808
2022,24249.789029535867,64.0,0.138,10,135,944.9773335500232,245.61473303076923
2022,24249.789029535867,64.0,0.138,10,140,944.7172230384102,245.64191425847326
2022,24249.789029535867,64.0,0.138,10,145,944.8105113521731,245.62242171486065
2022,24249.789029535867,64.0,0.138,10,150,944.1080653175798,245.59536359851649
2022,24249.789029535867,64.0,0.138,15,130,943.1988995978213,245.33742991545185
2022,24249.789029535867,64.0,0.138,15,135,944.6013952190591,245.52367744395008
2022,24249.789029535867,64.0,0.138,15,140,944.5664075000329,245.58296111921442
2022,24249.789029535867,64.0,0.138,15,145,944.8181471359202,245.63037767813873
2022,24249.789029535867,64.0,0.138,15,150,944.4305031460103,245.5846226540241
2022,24249.789029535867,64.0,0.138,20,130,941.7886398577847,245.08180307727426
2022,24249.789029535867,64.0,0.138,20,135,943.2633393700681,245.33906856866489
2022,24249.789029535867,64.0,0.138,20,140,944.6078950632043,245.4257119496165
2022,24249.789029535867,64.0,0.138,20,145,944.5308288156764,245.60277342681394
2022,24249.789029535867,64.0,0.138,20,150,944.2532109920419,245.51543033146035
2022,25007.59493670886,66.0,0.138,5,130,952.4790755876,246.12103330053282
2022,25007.59493670886,66.0,0.138,5,135,952.8860189986161,246.2484005500077
2022,25007.59493670886,66.0,0.138,5,140,952.5892448546928,246.23491170625226
2022,25007.59493670886,66.0,0.138,5,145,952.3188926119974,246.21594262504104
2022,25007.59493670886,66.0,0.138,5,150,951.3068784666865,246.17609359493704
2022,25007.59493670886,66.0,0.138,10,130,951.5533296200655,246.06762675194196
2022,25007.59493670886,66.0,0.138,10,135,952.1585596330871,246.21469130222255
2022,25007.59493670886,66.0,0.138,10,140,952.5815557243448,246.24215807467857
2022,25007.59493670886,66.0,0.138,10,145,952.6850007829596,246.22228418442953
2022,25007.59493670886,66.0,0.138,10,150,951.9393278008233,246.19469671071363
2022,25007.59493670886,66.0,0.138,15,130,950.3133641113004,245.932209327949
2022,25007.59493670886,66.0,0.138,15,135,951.7451677304499,246.12185432953345
2022,25007.59493670886,66.0,0.138,15,140,952.3991785743474,246.18229781393333
2022,25007.59493670886,66.0,0.138,15,145,952.6837132796186,246.2303957959337
2022,25007.59493670886,66.0,0.138,15,150,952.2655414129606,246.18399185454228
2022,25007.59493670886,66.0,0.138,20,130,948.8390815954924,245.67182769939973
2022,25007.59493670886,66.0,0.138,20,135,950.3332066333722,245.93388003931224
2022,25007.59493670886,66.0,0.138,20,140,951.711996237915,246.0219722658444
2022,25007.59493670886,66.0,0.138,20,145,952.348555293507,246.2024977239419
2022,25007.59493670886,66.0,0.138,20,150,952.0822170884722,246.1134458728564
2022,25765.400843881856,68.0,0.138,5,130,953.3268548744671,245.56243859093595
2022,25765.400843881856,68.0,0.138,5,135,953.6251102680703,245.69174709968848
2022,25765.400843881856,68.0,0.138,5,140,953.2879314950355,245.67800202936442
2022,25765.400843881856,68.0,0.138,5,145,952.9927508188134,245.65867262204392
2022,25765.400843881856,68.0,0.138,5,150,951.9622302232029,245.6183057109954
2022,25765.400843881856,68.0,0.138,10,130,952.4049224794633,245.50801756127197
2022,25765.400843881856,68.0,0.138,10,135,952.9346867493874,245.65763659884658
2022,25765.400843881856,68.0,0.138,10,140,953.3073168826174,245.6853860457723
2022,25765.400843881856,68.0,0.138,10,145,953.365655501629,245.6651346421651
2022,25765.400843881856,68.0,0.138,10,150,952.6062150747896,245.63702313215256
2022,25765.400843881856,68.0,0.138,15,130,951.1164400805665,245.37002782326067
2022,25765.400843881856,68.0,0.138,15,135,952.5410185963921,245.56303614669358
2022,25765.400843881856,68.0,0.138,15,140,953.1674272661851,245.62462778188268
2022,25765.400843881856,68.0,0.138,15,145,953.3783774770715,245.67340033732685
2022,25765.400843881856,68.0,0.138,15,150,952.9386252591457,245.62635400154426
2022,25765.400843881856,68.0,0.138,20,130,949.6435632692047,245.10493919926625
2022,25765.400843881856,68.0,0.138,20,135,951.1243352194048,245.37173027052714
2022,25765.400843881856,68.0,0.138,20,140,952.472287920726,245.46125677891297
2022,25765.400843881856,68.0,0.138,20,145,953.0575106181981,245.64521139813934
2022,25765.400843881856,68.0,0.138,20,150,952.7525358149792,245.5544679676533
