YEAR,DWT[t],STORAGE[GWh],RATED OUTPUT[GW],STANDBY LAT,STANDBY LON,YEARLY POWER GENERATION[GWh],2018 POWER GENERATION[GWh]
2022,22734.177215189873,60.0,0.138,1,125,970.7314302951288,233.3945318404993
2022,22734.177215189873,60.0,0.138,1,126,970.5692425966284,233.4808553148689
2022,22734.177215189873,60.0,0.138,1,127,970.9470468564134,233.5486290632386
2022,22734.177215189873,60.0,0.138,1,128,971.3020173043711,233.6117388608071
2022,22734.177215189873,60.0,0.138,1,129,971.6278216767604,233.66588574669888
2022,22734.177215189873,60.0,0.138,1,130,971.9047171480886,233.71218413773065
2022,22734.177215189873,60.0,0.138,1,131,972.1622371211713,233.75420336771612
2022,22734.177215189873,60.0,0.138,1,132,972.4028861054286,233.7921361334228
2022,22734.177215189873,60.0,0.138,1,133,972.604275232628,233.82617499764407
2022,22734.177215189873,60.0,0.138,1,134,972.7706897816536,233.85520941798993
2022,22734.177215189873,60.0,0.138,2,125,970.7758122781821,233.4125908564854
2022,22734.177215189873,60.0,0.138,2,126,970.596618898926,233.4901802248702
2022,22734.177215189873,60.0,0.138,2,127,970.9676246684601,233.55738735153895
2022,22734.177215189873,60.0,0.138,2,128,971.3178131950415,233.61995812478543
2022,22734.177215189873,60.0,0.138,2,129,971.631345581784,233.67808242714622
2022,22734.177215189873,60.0,0.138,2,130,971.9124207696128,233.72792608779497
2022,22734.177215189873,60.0,0.138,2,131,972.1721935410395,233.7692981111252
2022,22734.177215189873,60.0,0.138,2,132,972.4217210832886,233.80658865152068
2022,22734.177215189873,60.0,0.138,2,133,972.636627275961,233.8399900392642
2022,22734.177215189873,60.0,0.138,2,134,972.7896689167351,233.85630977656612
2022,22734.177215189873,60.0,0.138,3,125,970.7767688320562,233.42479840887978
2022,22734.177215189873,60.0,0.138,3,126,970.5933875392622,233.49631253000064
2022,22734.177215189873,60.0,0.138,3,127,970.9659700209355,233.5630253075906
2022,22734.177215189873,60.0,0.138,3,128,971.3122963782929,233.62513007221398
2022,22734.177215189873,60.0,0.138,3,129,971.6173165986003,233.6828182290717
2022,22734.177215189873,60.0,0.138,3,130,971.905460884941,233.7362789063419
2022,22734.177215189873,60.0,0.138,3,131,972.1815944519201,233.78218666564837
2022,22734.177215189873,60.0,0.138,3,132,972.4482712079808,233.8189206255416
2022,22734.177215189873,60.0,0.138,3,133,972.6626772445237,233.85176926932212
2022,22734.177215189873,60.0,0.138,3,134,966.3285271813664,233.85743468888066
2022,22734.177215189873,60.0,0.138,4,125,970.757058666885,233.4282192599623
2022,22734.177215189873,60.0,0.138,4,126,970.5754362845422,233.49928337223423
2022,22734.177215189873,60.0,0.138,4,127,970.9500221195493,233.56557357121886
2022,22734.177215189873,60.0,0.138,4,128,971.2838162781073,233.62728483288586
2022,22734.177215189873,60.0,0.138,4,129,971.5923463246463,233.68461030615106
2022,22734.177215189873,60.0,0.138,4,130,971.893788729589,233.73774093353975
2022,22734.177215189873,60.0,0.138,4,131,972.1967710786747,233.78686501727162
2022,22734.177215189873,60.0,0.138,4,132,972.4739947738034,233.82921517489962
2022,22734.177215189873,60.0,0.138,4,133,972.6901429315046,233.86043309455604
2022,22734.177215189873,60.0,0.138,4,134,966.3417203534198,233.8585840153277
2022,22734.177215189873,60.0,0.138,5,125,970.619933423453,233.42842853009867
2022,22734.177215189873,60.0,0.138,5,126,970.4399835987167,233.49911275022623
2022,22734.177215189873,60.0,0.138,5,127,970.9223710822614,233.56505093219428
2022,22734.177215189873,60.0,0.138,5,128,971.2585082320807,233.62643989461972
2022,22734.177215189873,60.0,0.138,5,129,971.581883462832,233.68347477907093
2022,22734.177215189873,60.0,0.138,5,130,971.9090172573673,233.73634864881114
2022,22734.177215189873,60.0,0.138,5,131,972.2129510918888,233.78525201935662
2022,22734.177215189873,60.0,0.138,5,132,972.4937862631522,233.83037231586226
2022,22734.177215189873,60.0,0.138,5,133,972.7120838740364,233.8615692820301
2022,22734.177215189873,60.0,0.138,5,134,966.3533061424092,233.85975743665688
2022,22734.177215189873,60.0,0.138,6,125,969.9269948883767,233.42543676807256
