STORAGE[GWh],2018 POWER GENERATION[GWh],2021 POWER GENERATION[GWh]
5.0,72.21707263759257,71.79614087607762
10.0,135.64544688300106,111.81223713005114
15.0,161.81231439575774,156.307989837831
20.0,200.63432415348825,173.70831923128432
25.0,213.79704156403437,179.04368889466164
30.0,224.36292028688987,187.13766646034142
35.0,227.8697102257829,192.61656555125427
40.0,243.77047533523958,198.0697271673314
45.0,244.192235354659,203.01072128563203
50.0,242.93969806195972,199.98362392834406
55.0,232.8405610178279,203.87879845563833
60.0,238.8233673052499,199.17091543319017
65.0,246.3997261403726,198.68638663254902
70.0,244.97712670262428,198.21413768984016
75.0,257.8373705607775,197.75301088554767
80.0,245.1499916025249,197.30202700217504
85.0,244.6381362958732,196.8603484242067
90.0,253.81418670744867,196.42725157980726
95.0,253.66486150030988,196.00210597301594
100.0,257.6880229255618,195.58435796738067
105.0,253.06733549196258,195.17351806127962
110.0,246.42230516132884,194.76915077313384
115.0,245.98575435916132,194.37086650727665
120.0,254.69962907718528,193.9783149436475
125.0,254.34147129945856,193.59117961444468
130.0,253.98805873061383,193.43158059757926
135.0,253.6391494589675,199.68428894597292
140.0,253.29452236417563,199.34821892612442
145.0,252.95397465473005,199.01612700067133
150.0,252.61731977165778,198.6878312428914
