YEAR,DWT[t],STORAGE[GWh],RATED OUTPUT[GW],STANDBY LAT,STANDBY LON,YEARLY POWER GENERATION[GWh],2018 POWER GENERATION[GWh]
2022,27281.01265822785,72.0,0.138,5,130,993.970644563005,266.7571954137566
2022,27281.01265822785,72.0,0.138,5,135,995.188874438461,267.62055802886823
2022,27281.01265822785,72.0,0.138,5,140,995.3541954564033,268.0960215685551
2022,27281.01265822785,72.0,0.138,5,145,995.2400687202644,268.2085465752153
2022,27281.01265822785,72.0,0.138,5,150,994.3171584263396,268.19341980721384
2022,27281.01265822785,72.0,0.138,10,130,993.3506425958462,266.80270219599674
2022,27281.01265822785,72.0,0.138,10,135,994.5946724607585,267.6680984374877
2022,27281.01265822785,72.0,0.138,10,140,995.3974889042111,268.1097949568024
2022,27281.01265822785,72.0,0.138,10,145,995.5794140170431,268.2085465752153
2022,27281.01265822785,72.0,0.138,10,150,994.9051450709683,268.2085465752153
2022,27281.01265822785,72.0,0.138,15,130,992.2510768282817,266.6583209707801
2022,27281.01265822785,72.0,0.138,15,135,994.3583017929705,267.58166231505226
2022,27281.01265822785,72.0,0.138,15,140,995.2859988340243,268.0658074539166
2022,27281.01265822785,72.0,0.138,15,145,995.5801353073823,268.2085465752153
2022,27281.01265822785,72.0,0.138,15,150,995.1649235340168,268.1927955928656
2022,27281.01265822785,72.0,0.138,20,130,991.1973929730534,266.25095429352234
2022,27281.01265822785,72.0,0.138,20,135,993.5656604970004,267.30268160114025
2022,27281.01265822785,72.0,0.138,20,140,994.87431156019,267.90348521043245
2022,27281.01265822785,72.0,0.138,20,145,995.3825627638108,268.1685947692737
2022,27281.01265822785,72.0,0.138,20,150,994.9333362993291,268.1109480136915
2022,28038.818565400845,74.0,0.138,5,130,985.1524214651914,255.37154859197543
2022,28038.818565400845,74.0,0.138,5,135,986.4445072238518,256.249777555485
2022,28038.818565400845,74.0,0.138,5,140,986.664370867329,256.7333293540164
2022,28038.818565400845,74.0,0.138,5,145,986.5845050168284,256.84760068669584
2022,28038.818565400845,74.0,0.138,5,150,985.6753437445356,256.8324295147106
2022,28038.818565400845,74.0,0.138,10,130,984.5056088352512,255.41785055281963
2022,28038.818565400845,74.0,0.138,10,135,985.8306753816597,256.2981486779872
2022,28038.818565400845,74.0,0.138,10,140,986.6954971809903,256.74734341635883
2022,28038.818565400845,74.0,0.138,10,145,986.9241900984917,256.84760068669584
2022,28038.818565400845,74.0,0.138,10,150,986.2735639186941,256.84760068669584
2022,28038.818565400845,74.0,0.138,15,130,983.3605839694964,255.27094643199334
2022,28038.818565400845,74.0,0.138,15,135,985.5612990895567,256.210202183871
2022,28038.818565400845,74.0,0.138,15,140,986.5635162284732,256.70258728252577
2022,28038.818565400845,74.0,0.138,15,145,986.9173513727503,256.84760068669584
2022,28038.818565400845,74.0,0.138,15,150,986.5383549479428,256.8317943929356
2022,28038.818565400845,74.0,0.138,20,130,982.2348000910067,254.8566814101268
2022,28038.818565400845,74.0,0.138,20,135,984.7112480865833,255.92656652218227
2022,28038.818565400845,74.0,0.138,20,140,986.1161402788684,256.5376485636662
2022,28038.818565400845,74.0,0.138,20,145,986.7045077574431,256.80717068782633
2022,28038.818565400845,74.0,0.138,20,150,986.3046102802166,256.748516621589
2022,28796.62447257384,76.0,0.138,5,130,991.0496281843374,256.69095930796556
2022,28796.62447257384,76.0,0.138,5,135,991.2651045950732,257.5839212714337
2022,28796.62447257384,76.0,0.138,5,140,991.4997699075965,258.0754887785997
2022,28796.62447257384,76.0,0.138,5,145,991.4187589666699,258.1914907730719
2022,28796.62447257384,76.0,0.138,5,150,990.4947666420115,258.17627559539847
2022,28796.62447257384,76.0,0.138,10,130,990.4030808469327,256.7380493148065
2022,28796.62447257384,76.0,0.138,10,135,991.3142851656196,257.6331156564662
2022,28796.62447257384,76.0,0.138,10,140,991.5312117788478,258.0897413562345
2022,28796.62447257384,76.0,0.138,10,145,991.7637989822088,258.1914907730719
2022,28796.62447257384,76.0,0.138,10,150,991.102694848727,258.1914907730719
2022,28796.62447257384,76.0,0.138,15,130,988.8032245276219,256.588644928285
2022,28796.62447257384,76.0,0.138,15,135,991.040752573401,257.54367233842834
2022,28796.62447257384,76.0,0.138,15,140,991.3969845486488,258.04422348593386
2022,28796.62447257384,76.0,0.138,15,145,991.7568418648568,258.1914907730719
2022,28796.62447257384,76.0,0.138,15,150,991.371823436945,258.1756296640343
2022,28796.62447257384,76.0,0.138,20,130,987.6582801327647,256.1675434387054
2022,28796.62447257384,76.0,0.138,20,135,990.1766623544928,257.2554234829973
2022,28796.62447257384,76.0,0.138,20,140,991.6050369994585,257.87669176100684
2022,28796.62447257384,76.0,0.138,20,145,991.5405899159844,258.150586870578
2022,28796.62447257384,76.0,0.138,20,150,991.1349347678945,258.0909345290787
2022,29554.430379746835,78.0,0.138,5,130,997.1585615421598,258.6358023609017
2022,29554.430379746835,78.0,0.138,5,135,998.5151801653285,259.5433686354051
2022,29554.430379746835,78.0,0.138,5,140,998.7645178581676,260.04288183607537
2022,29554.430379746835,78.0,0.138,5,145,998.6823718288822,260.1605993754596
2022,29554.430379746835,78.0,0.138,5,150,997.7436779972439,260.14534057647614
2022,29554.430379746835,78.0,0.138,10,130,996.5122771800288,258.6836735303625
2022,29554.430379746835,78.0,0.138,10,135,997.9025677993469,259.5933790919838
2022,29554.430379746835,78.0,0.138,10,140,998.7962725306954,260.0573708456335
2022,29554.430379746835,78.0,0.138,10,145,999.0327180564758,260.1605993754596
2022,29554.430379746835,78.0,0.138,10,150,998.3612294393768,260.1605993754596
2022,29554.430379746835,78.0,0.138,15,130,995.3508957910486,258.53179071731654
2022,29554.430379746835,78.0,0.138,15,135,997.6249152112135,259.50245202439197
2022,29554.430379746835,78.0,0.138,15,140,998.659818643466,260.0110978924352
2022,29554.430379746835,78.0,0.138,15,145,999.0256455294993,260.1605993754596
2022,29554.430379746835,78.0,0.138,15,150,998.6346576991139,260.1446839299419
2022,29554.430379746835,78.0,0.138,20,130,994.1869582419513,258.1039124747914
2022,29554.430379746835,78.0,0.138,20,135,996.7469084052705,259.20963027026625
2022,29554.430379746835,78.0,0.138,20,140,998.1985603897997,259.84099581067437
2022,29554.430379746835,78.0,0.138,20,145,998.8060150179692,260.11922570876624
2022,29554.430379746835,78.0,0.138,20,150,998.3946524907733,260.0585838116798
