BASE LON,BASE LAT,STORAGE[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
155,20,10.0,76.06275784825009,134.22433919363203,117.29302368522819,58.82326976975241,115.02873709763035,93.92681043469632
150,20,10.0,88.98602465100961,137.7122761939652,141.1134934547598,56.36562653406962,123.3370081085673,102.34611466230243
145,20,10.0,89.20246322234821,139.86389754999988,149.65171227286828,71.39837957012912,133.02811182349282,106.2080043041055
140,20,10.0,90.43335123054412,157.38398664851,158.36978299813848,87.78921458375082,133.56558372438838,106.23458249595538
135,20,10.0,91.98972146343127,158.13521320367053,156.56177290759857,93.2138394261495,133.22158469314795,104.23560865933817
130,20,10.0,90.93196628706654,150.02837251088073,152.5215759711601,93.41272047325693,126.0066500716166,102.40213578786914
125,20,10.0,79.49120107466833,137.51622047393255,123.51465432423004,85.10275181280959,120.08626888940897,102.07816550863919
155,25,10.0,84.12707430550303,111.21208647968245,115.43566246767503,57.53058144027699,117.32808893328531,102.32726741196728
150,25,10.0,97.92632764092731,138.54618638054626,126.63470916025197,70.32992910358891,118.71478310005752,102.66667412723278
145,25,10.0,97.7519064195942,149.22747819853384,145.37549648015877,71.95797866692696,117.88711316425305,102.65117237991583
140,25,10.0,89.32509988958915,153.3075648191898,143.78718118296882,76.38693496676842,134.4450747166574,111.45343209139932
135,25,10.0,88.86953256959507,152.8798180777495,142.86315883873579,87.72650411018611,129.95051365731285,110.74174665064442
130,25,10.0,88.44642553014427,135.38895168618578,139.31387260244833,93.0821245074775,124.51446147925736,102.18674053739761
155,30,10.0,82.97278844147654,117.11875214171259,114.46337936135794,57.89751848806793,98.78929524348257,98.50805781870034
150,30,10.0,94.37219514157,135.69817596287274,114.66063277623685,69.32953195752314,113.95383379509315,102.13108096735932
145,30,10.0,89.12902417757067,132.2487570244892,128.6143112003901,68.50136304614313,119.4881961111176,114.14581749506105
140,30,10.0,89.29885953822652,142.61436905347793,138.76798773927433,79.63685762378442,122.33661607783948,116.0041275951623
135,30,10.0,89.29336922464101,142.34406305304955,139.46832353450455,83.72945419599272,125.06248463005645,110.47246018309205
155,20,20.0,104.82579161563362,182.6457054215037,171.69434609599494,105.75715320144707,157.89323415770465,117.98314704598609
150,20,20.0,110.073039670388,203.10340151186244,193.31607098056114,110.94568219031447,169.92707795844223,132.8654698830609
145,20,20.0,112.83680960631077,218.38645674826668,198.42565892456182,103.00397219767007,171.94942182396855,136.49361683286733
140,20,20.0,115.45948222511484,230.41054728565408,200.43304984876997,100.41020700428925,173.20274486727064,141.5216511313413
135,20,20.0,123.58922430854439,237.07989843005893,197.89816870380537,100.24203979196902,176.28419169668672,144.47404516254656
130,20,20.0,119.85971794497533,230.73743065087234,194.11074943059097,112.80473064420252,171.93098899146386,141.14316157719608
125,20,20.0,113.49434933838913,205.93939517587793,176.02945764456882,111.72166756693689,169.994158472955,137.02295372371879
155,25,20.0,109.09199913952958,192.53424664942767,171.53683847484,97.92239818832302,159.48542457737125,122.68569441122413
150,25,20.0,119.92961608664383,204.53242576171988,193.50839357806845,97.93143435887893,174.21737492384392,132.2910071580179
145,25,20.0,126.39349100374096,209.79069692537524,192.90625879191214,105.82472666125351,174.3042360563808,134.94415786965223
140,25,20.0,120.06129010418853,222.04823330451256,185.55911194162354,107.10727091823487,175.73672944103046,141.25218507892063
135,25,20.0,127.72125196735516,227.21484225431809,185.38446215057925,105.52239168462047,182.49806179725664,141.49901183544856
130,25,20.0,127.61922296564319,224.3268625457385,176.56943883695843,102.64611722343456,169.17707410202362,138.08887207031088
155,30,20.0,108.5118862066553,187.82400160088594,159.34240869698488,97.54721593695346,161.95594973492686,117.78696751943042
150,30,20.0,118.61640020326445,202.7244836116628,181.903173935024,104.07562329568262,174.98509845853894,131.49681884193183
145,30,20.0,122.15419897116536,207.8202269157474,188.28387091182586,109.00003653361838,161.4004491139119,131.02395649431043
140,30,20.0,118.44352883866446,209.63646143492554,181.5325507323071,111.0751534410419,168.36433566317692,131.5217497575277
135,30,20.0,112.30088290041196,215.8107372999429,183.07205477585654,111.00714517195091,165.75536108228738,134.4648365588918
155,20,30.0,126.40940515229923,210.4076619888446,199.97079671078305,106.90807584747256,176.72523808792815,150.12448677734156
150,20,30.0,133.80092240566148,232.01880080150687,200.39247716376,113.44387348278967,203.82404500071243,155.89542760385717
145,20,30.0,121.1222801451469,247.3390680462528,222.89720819102783,116.80120432033782,192.4426679854326,156.70939042530722
140,20,30.0,123.69489170402112,248.68261438643177,226.61203291388193,116.36870956639247,182.29060237462247,157.74579949222922
135,20,30.0,128.43520195710258,250.90100504063096,226.97479014513874,114.12446951751022,174.7353706844158,157.44913527274264
130,20,30.0,127.6912703066525,230.70111341028382,210.0089116443452,105.67847056539357,194.05978224036474,158.7149779323644
125,20,30.0,125.32947916569229,220.6966672485327,203.98577631991512,93.27487797411246,197.53941121601557,156.27565229995875
155,25,30.0,135.63063603671878,221.97486177908712,199.11132809217656,109.84984993890731,201.45890688804758,150.50119990935065
150,25,30.0,136.90330091419472,235.34222028587448,200.18817049111587,115.74281229001724,191.23786204194275,153.6743436302927
145,25,30.0,137.27244907760976,246.55259123498158,223.56238724088374,119.99722130023983,190.15671840506917,153.83043978655252
140,25,30.0,138.3743167834594,247.39308386640133,221.2165829457134,123.34716858377166,188.3995512320118,154.92678411240715
135,25,30.0,134.99116900349026,248.52666945612438,220.72711544807882,121.63498751183383,184.25769375383902,154.6322171885701
130,25,30.0,128.22419352388044,240.0369785924748,203.8633019549619,112.6631273362119,189.04204919912897,154.85884960791887
155,30,30.0,134.55320946035684,220.49954264574382,190.92740625906126,110.80935898582113,201.77396235616476,149.09845096752503
150,30,30.0,133.92615633817385,234.76374322073607,195.2870168400649,114.78591043870858,191.85191444547092,150.06749329904338
145,30,30.0,136.96286449492484,248.31638389927076,198.988206289451,118.46831963994828,191.492269361081,150.89804211810795
140,30,30.0,138.0663364928101,248.4007678077802,218.26813978522995,121.36688777765904,189.15532991065407,151.0272376062595
135,30,30.0,133.86115640338926,244.4163934574921,202.18083915460053,120.45233474374092,186.29294918786982,150.7886093849094
155,20,40.0,135.31141070982324,247.66957043709746,211.20838409907216,117.03458378088553,193.23282871614168,151.3171495233742
150,20,40.0,138.61507009857164,244.96403834493358,230.362419560764,118.23395116571682,205.22456597688375,148.29342179811476
145,20,40.0,138.64315537963574,253.92844542242543,239.18240750306566,118.51706321873048,207.50357332407148,165.7834810819859
140,20,40.0,142.4655001291734,256.6269805987188,234.0336087200703,116.67519116103729,202.8865553721155,172.3031827124934
135,20,40.0,144.1071406251132,254.8209667519446,231.68652893222531,115.68063134978023,207.22481977529722,171.95931668829
130,20,40.0,138.31389291577355,255.377833861507,230.92360786296643,121.35528507998815,207.4966968652775,166.1901485505166
125,20,40.0,133.39374402256223,249.17383989944466,213.51789796807583,117.42590538762006,213.18076246776428,163.5380900548466
155,25,40.0,135.6897765378922,243.51242192407375,211.00166109148918,118.40540042865285,198.61195834766713,150.73342433325038
150,25,40.0,137.0728811865077,251.38874263813878,219.74892358367697,118.64270708509665,201.9149627001389,150.8637805344919
145,25,40.0,138.45439344629523,259.4527532386808,235.67481522179526,118.5443717321606,194.31976770309933,163.58098504694993
140,25,40.0,142.54405766367827,258.84179102777216,232.52706687057116,119.17222214187969,205.23965784563237,171.80742677164193
135,25,40.0,152.47197086577924,257.99568901409543,230.70956612737513,114.40843644913687,201.79202055448633,175.6864106666969
130,25,40.0,147.3559460114772,255.65736324383334,227.68171493397566,115.36886504226031,214.71601415381852,169.9382646517401
155,30,40.0,135.91205078848643,244.23649460301988,210.11857752759258,117.74031079148016,196.94197336427777,149.03032252584012
150,30,40.0,134.82187691419932,250.73720274276533,226.60565183726902,118.35650475212393,204.23325475347875,141.64941407557873
145,30,40.0,140.06896683068408,261.8251030907135,235.19883785201222,121.57282432047067,204.53330034078866,156.56685791936724
140,30,40.0,144.70325319809143,261.2960432089175,229.4365523339705,122.47802387264429,200.7515864531528,163.7987488083889
135,30,40.0,149.45768742146532,258.93986026119046,226.2993093448352,119.93094738204225,210.3335702202322,171.94378770179256
155,20,50.0,139.10182048357206,239.3692020088253,221.7158171697945,131.9583479766925,199.27536407351764,157.180554719736
150,20,50.0,146.5183713535367,249.33432475142706,227.6207394882051,134.3544631448758,200.6712412269015,162.44021156388433
145,20,50.0,151.30497739250495,269.0249700517692,232.41957650678722,134.48311031446505,203.5861416473967,156.4557108388833
140,20,50.0,153.44566244600804,271.4846789371278,236.81238095248932,132.7078443186238,207.1101978550005,160.79719600971387
135,20,50.0,153.97429506533376,252.19381467216004,233.73412023514334,131.9767138299802,204.23907733424863,165.35665882696375
130,20,50.0,154.68624858896564,250.75830145409702,240.0758828818703,129.63165999894917,204.6176951456337,164.3047932516618
125,20,50.0,151.94115552504286,243.5679211740344,232.5182489059669,124.38008612617709,203.6036525175952,162.94704567035907
155,25,50.0,139.3632427707912,243.004106248562,221.77088629663578,125.97926387330106,202.00817879220887,157.86697905154125
150,25,50.0,148.77740185245335,254.95793748056195,221.1126564644602,126.94110159354857,204.17556529675366,161.2351327301482
145,25,50.0,152.46173313446565,270.9658444759206,231.85431389084707,131.28620347033254,200.09859363457122,159.08786081227345
140,25,50.0,153.83509310411281,274.74524431713394,242.7835379468363,128.37331830599416,210.89450866225772,162.51225966023642
135,25,50.0,153.91796824811308,273.5590678799113,231.51737422249596,133.11295709722353,207.56389171787183,162.26615562089344
130,25,50.0,153.94828403720334,249.5447536246703,234.49225066430327,131.21989745818559,203.4758301682885,161.34681772398199
155,30,50.0,139.39683200994267,245.51464958136538,217.29360803520123,127.77773902466436,202.67926580695178,151.39416433174364
150,30,50.0,148.14376679075846,254.80439782544872,213.28093735893214,127.97900797177718,208.4236049258399,157.46987274561727
145,30,50.0,151.91165834548707,267.0071090450171,227.01969799241144,133.2069437511896,206.82035186580586,154.78643698909474
140,30,50.0,153.22036374615743,271.92042008849637,235.31006706203675,129.9263565734054,205.0111448019215,156.09462458775084
135,30,50.0,153.24912161300207,270.10459172978324,228.21446243623507,133.9755468193105,207.2802182704293,158.69618218170285
155,20,60.0,139.8196344015306,241.58700234997445,226.87096493365055,133.51111024997132,192.0480431554168,154.26701497175162
150,20,60.0,140.6353500523906,254.43635540480003,226.6153764570614,138.64371118658713,200.3319780954601,160.0467059916019
145,20,60.0,137.3987543487378,261.3361420329221,238.54203339117765,140.39376788125793,201.13610144677307,155.75518911715253
140,20,60.0,138.81369908603335,261.2786266218042,231.41317050689918,138.86516099251722,204.17909739926046,169.18129995766256
135,20,60.0,143.44694612513578,261.56216483697216,246.74556051615173,136.220903336079,204.60309861245264,171.82249029753686
130,20,60.0,148.10536323916546,259.04821213339005,248.64685033769214,131.38535237751046,204.67631035973534,171.3048617819238
125,20,60.0,144.97817511636904,252.7654858450095,218.8490634313582,125.55601416533767,204.6332187332195,170.80510491490918
155,25,60.0,139.89852486008718,239.94479351750562,225.86817352072927,137.71458704324417,201.3588069199959,150.27899727477453
150,25,60.0,140.42255603034596,244.67881621421623,230.9639728150681,140.3197776078033,202.23403962190528,159.74045338533503
145,25,60.0,136.12293637988,259.2327243952908,232.56727433414414,140.93992317223461,197.67131689451728,158.3511299655975
140,25,60.0,142.67878815300477,261.29574462000267,230.55214930693012,140.26448909527585,208.68881505500994,165.00693917495224
135,25,60.0,148.11914365580404,260.9350464384468,230.13828712536593,138.46058335796278,204.74229514456374,168.6581566058722
130,25,60.0,147.17963037208003,257.60433405851165,227.76910179876515,133.55288017032757,204.49772522157656,168.61590919308486
155,30,60.0,135.42597027100607,241.91620279847328,224.3608636796922,137.78907594322158,200.14269685799675,148.0162599764988
150,30,60.0,136.81732882313133,248.37723424468703,226.98777900281473,139.9418087153706,207.13216520153094,157.3079953155595
145,30,60.0,138.74823006388013,258.5393450979123,230.28784534631157,140.36941968495623,203.7275734398071,154.46102728367657
140,30,60.0,143.69843482395328,260.33661015472694,229.66790623131843,140.6181375022784,196.5708535658136,154.61601320527066
