BASE LON,BASE LAT,STORAGE[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
155,20,240.0,132.6669529353371,230.30664020568437,237.07994982091728,113.02888844546271,197.62447642060582,160.91143955997464
150,20,240.0,134.29878917546196,239.1591027599155,236.15603798313455,112.95399465556626,203.97479002266564,174.53554992704605
145,20,240.0,134.5245079925773,244.15219123910882,233.13815483353292,121.4125105674103,203.56003794460165,174.02997432757135
140,20,240.0,132.67609244218465,244.4496411666479,229.1895948425077,121.47796357800902,200.58890264190424,172.27075102915168
135,20,240.0,136.81348028666682,240.24472205298073,222.04047602715005,121.48154757033667,200.58144041892967,167.46054835655073
130,20,240.0,140.93383122028345,234.31833691386183,217.37421392060506,121.5047648821626,199.68524352179875,168.2788335003758
125,20,240.0,138.79403535517108,232.44879529999073,209.6604153070607,121.50319014164454,198.47554998411312,166.28190676815223
155,25,240.0,131.40902165113067,236.60299006541663,236.28704426340576,115.95103741765978,202.63560234991797,170.8503859349647
150,25,240.0,133.56918658250794,240.50725035444748,236.51297205817505,115.49356556282781,201.47103747320517,172.4471863167805
145,25,240.0,131.3634012581117,244.44691735353354,233.7252271582951,114.96947517305975,196.85893641029398,171.09081605566672
140,25,240.0,137.40787719729983,244.02484161753046,229.49155863333291,121.43771766698804,204.3975952218403,169.56390696417316
135,25,240.0,143.37691838603024,240.89303497635632,225.22353511337656,121.5147148268206,199.9741970666053,171.01979071972966
130,25,240.0,143.4444876986695,233.65330356305324,218.20869826299037,121.5082845018627,198.8776634542942,165.76682210324734
155,30,240.0,129.28506236548688,234.3830868440049,234.8520660870689,116.37199671211017,197.33460417527644,168.40475441153268
150,30,240.0,131.51216382395836,239.02000744960364,234.40403131863306,115.35744243576418,201.47785356790385,171.75595815415986
145,30,240.0,132.98754511019456,241.99576857640653,231.87706649125806,113.98736358540036,199.74375213410113,171.30294989998694
140,30,240.0,138.63450329200572,241.4254045864207,228.5997194707565,112.32763365654532,194.7136915320795,170.35941113258633
