STORAGE[GWh],SUB JUDGE ENERGY STORAGE PER[%],YEARLY POWER GENERATION[GWh]
50.0,10,1084.7154032883432
50.0,15,1084.5550904653694
50.0,20,1087.4395595240992
50.0,25,1085.7466548191665
50.0,30,1083.3795579531777
50.0,35,1074.0293415089666
50.0,40,1066.9028558888504
50.0,45,1066.0848839232026
50.0,50,1075.9907633601506
50.0,55,1072.4909488592532
50.0,60,1068.461188853558
50.0,65,1069.1853355753076
50.0,70,1072.8065389753283
50.0,75,1033.3378113704061
50.0,80,1035.767326645385
50.0,85,1042.635838339704
50.0,90,1035.7683539988598
50.0,95,1035.7683539988598
60.0,10,1090.496304933084
60.0,15,1096.0609831513623
60.0,20,1096.0609831513623
60.0,25,1098.4523158140582
60.0,30,1106.5243076871477
60.0,35,1106.530368269825
60.0,40,1130.8532056852519
60.0,45,1140.0864611096297
60.0,50,1113.5847017099848
60.0,55,1099.7016721869447
60.0,60,1094.905390912405
60.0,65,1115.0578104648844
60.0,70,1107.2379486992033
60.0,75,1086.7274162669883
60.0,80,1082.230112446831
60.0,85,1082.230112446831
60.0,90,1067.3953203716785
60.0,95,1067.3953203716785
70.0,10,1079.8000177139752
70.0,15,1087.3760518083268
70.0,20,1087.3760518083268
70.0,25,1084.8952419850382
70.0,30,1077.9642937461265
70.0,35,1108.437057623921
70.0,40,1150.8441498526895
70.0,45,1135.177987142779
70.0,50,1117.8886669221004
70.0,55,1108.6568596053498
70.0,60,1120.1574416706871
70.0,65,1121.200235409096
70.0,70,1131.4667516125362
70.0,75,1142.8692863731314
70.0,80,1139.9518094618647
70.0,85,1138.7870405651856
70.0,90,1095.7392800454606
70.0,95,1095.7392800454606
80.0,10,1114.0895342400527
80.0,15,1117.1338993581594
80.0,20,1117.5530951568699
80.0,25,1124.6244640734265
80.0,30,1109.4949560224895
80.0,35,1126.8269752742267
80.0,40,1132.4700066120768
80.0,45,1133.8871708512206
80.0,50,1136.5549587027765
80.0,55,1143.2343681062544
80.0,60,1149.6855835552187
80.0,65,1155.2019078258986
80.0,70,1128.3774855598956
80.0,75,1132.9732888853289
80.0,80,1128.8895050694796
80.0,85,1114.7182877229864
80.0,90,1114.7182877229864
80.0,95,1114.7182877229864
90.0,10,1108.9412396927412
90.0,15,1116.5919372083708
90.0,20,1122.42786515197
90.0,25,1129.7197123122412
90.0,30,1141.57616976404
90.0,35,1145.7480701296051
90.0,40,1156.2370280584746
90.0,45,1145.4467273294574
90.0,50,1156.4149484794907
90.0,55,1149.3162812923513
90.0,60,1149.1634266479407
90.0,65,1147.942077829473
90.0,70,1157.473481924471
90.0,75,1146.6288653061317
90.0,80,1141.8107030539893
90.0,85,1126.0456420460741
90.0,90,1126.355100410209
90.0,95,1126.355100410209
100.0,10,1096.7326131600778
100.0,15,1102.4713529210771
100.0,20,1111.290701263077
100.0,25,1121.002178183789
100.0,30,1125.8948873489533
100.0,35,1128.9099470882372
100.0,40,1125.6195677063429
100.0,45,1133.1189452679318
100.0,50,1123.114841157029
100.0,55,1125.2551823515537
100.0,60,1129.8797036433227
100.0,65,1095.302889774182
100.0,70,1090.097583283158
100.0,75,1095.352993411926
100.0,80,1078.7825116142744
100.0,85,1074.6229075533215
100.0,90,1074.6229075533215
100.0,95,1074.6229075533215
110.0,10,1098.0192404655386
110.0,15,1104.5075175888453
110.0,20,1102.8332034382138
110.0,25,1117.7450244798335
110.0,30,1159.014918647038
110.0,35,1147.0945259770974
110.0,40,1141.4096775646558
110.0,45,1133.0850885747373
110.0,50,1137.4778710278715
110.0,55,1164.4258756971378
110.0,60,1154.0376004784268
110.0,65,1153.434563265277
110.0,70,1137.4852666540517
110.0,75,1131.7255151974573
110.0,80,1126.9415985536218
110.0,85,1130.824786407323
110.0,90,1132.6398522447091
110.0,95,1132.6398522447091
120.0,10,1096.2283527079094
120.0,15,1102.9215832883417
120.0,20,1106.0845057526951
120.0,25,1125.801389925238
120.0,30,1134.208570728048
120.0,35,1126.2721460638204
120.0,40,1121.39708291794
120.0,45,1125.8910483610925
120.0,50,1153.5292386000565
120.0,55,1153.278105819823
120.0,60,1147.5120424202976
120.0,65,1133.2515202322518
120.0,70,1131.178142820122
120.0,75,1131.5657772110058
120.0,80,1131.5657772110058
120.0,85,1128.721099494367
120.0,90,1114.6165558719085
120.0,95,1114.6165558719085
130.0,10,1093.3197543556043
130.0,15,1100.1890713528533
130.0,20,1107.2395811720514
130.0,25,1134.2598392350435
130.0,30,1139.074607471713
130.0,35,1134.8885487374303
130.0,40,1127.4688457445034
130.0,45,1127.4688457445034
130.0,50,1146.378143114744
130.0,55,1142.0114413081521
130.0,60,1129.6000975109525
130.0,65,1129.5691056324229
130.0,70,1118.007262693324
130.0,75,1117.8183560148975
130.0,80,1136.0377786322858
130.0,85,1121.2549279359584
130.0,90,1127.1114933566
130.0,95,1127.1114933566
140.0,10,1079.94778097259
140.0,15,1086.027112495034
140.0,20,1092.4395907627563
140.0,25,1130.47672316168
140.0,30,1127.175559373391
140.0,35,1126.7236321442183
140.0,40,1112.5569011561938
140.0,45,1146.680682538291
140.0,50,1137.8942610313095
140.0,55,1131.5635390191258
140.0,60,1112.394006350885
140.0,65,1113.4736414698891
140.0,70,1113.2754445206435
140.0,75,1140.804213936176
140.0,80,1126.0449712844033
140.0,85,1137.1637753507518
140.0,90,1105.7462033036045
140.0,95,1105.7462033036045
150.0,10,1083.6319726377963
150.0,15,1091.0858581918278
150.0,20,1104.6678282587434
150.0,25,1127.8664205035195
150.0,30,1124.6923056444698
150.0,35,1117.829656626996
150.0,40,1117.829656626996
150.0,45,1130.4095808430454
150.0,50,1125.311332178662
150.0,55,1122.5670142229187
150.0,60,1123.5295541393898
150.0,65,1123.5295541393898
150.0,70,1151.0480225463425
150.0,75,1154.6189973065384
150.0,80,1165.7017105113812
150.0,85,1141.793721433405
150.0,90,1113.0389945004636
150.0,95,1113.0389945004636
