"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,20,127.26068038764859,249.40456667154513,228.75816867824747,124.34236668045858,191.04724296925525,158.17458240426896
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,20,136.38448842164487,254.75309240768243,228.68587570092225,125.64793776149222,199.56129092216958,165.5391405319408
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,20,143.29615391182944,265.36401911413765,228.70199806281903,125.8035799644874,200.24235833310294,171.75417816536694
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,20,146.27169853433483,270.5529748953478,244.92613565744014,122.74906224669917,203.3929514105995,173.31623692921025
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,20,152.07229587129632,267.9470193221643,249.77250222800131,119.59828342737843,203.86056800746977,170.54194237823256
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,20,154.44444978343574,250.85225335683498,245.94701009247325,114.60173027317326,203.94184838252556,171.43888223116016
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],125,20,150.2849518232252,243.53140391061334,235.45352124326337,107.42362124356244,203.89841559634922,167.45013379821233
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,25,128.17435007366026,245.024324664973,228.48365908833534,128.671066275672,198.40802923744175,153.41151190044204
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,25,138.56832571390797,251.2084054184648,228.67373670964173,127.57102817062746,201.2550039846077,157.08624318902935
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,25,140.92941588543584,267.2370999509054,228.7217961400896,126.08940194993582,196.70043809146568,166.02925741992848
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,25,149.43302139473516,271.05380662627067,241.2508616770472,124.99252393917313,207.96154414543756,169.06574383694172
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,25,156.13710385666866,269.95642665779604,250.3442861278669,121.13908654575391,204.01631288717724,170.60380485983143
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,25,157.45399065778588,264.90068863413575,244.08561972829312,116.89301643429931,203.75012640459002,165.05899493294643
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,30,127.3745474443568,241.69014707314935,227.98530685230165,129.97749129877428,198.84390216951076,151.10459801563806
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,30,134.78468399935784,250.18494861415348,228.47570608625878,128.25638321433652,204.96457943560918,153.02985575617163
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,30,140.99775449520476,262.75476370984904,228.13856477852133,126.27629171397305,202.63409733657562,159.10244179919718
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,30,147.157443335239,267.69189606025174,251.04965260932462,124.6309550047149,195.49039076471684,162.39576988545986
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,30,154.003415447564,265.6015900970219,227.1529002446186,121.63421377038772,204.76164318001673,163.66877766604813
