"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,20,141.4036854739515,273.34175988330367,240.44459324419626,127.43955879717358,198.84835666743416,167.04922391041023
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,20,144.2697040047356,271.0312970934856,246.1011175404067,127.22440606965866,204.23087364653676,169.79056382359582
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,20,144.6305218895724,272.7812803307942,256.3750979727589,127.35570567562414,202.59128761522578,173.33241226647343
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,20,145.24449060347192,272.8224257881811,256.045722551749,125.16029024825768,205.09378758361032,179.70667891570315
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,20,150.09892123764556,269.0250702065071,253.3989663683918,130.46411921253187,205.42900494551444,174.50537913316944
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,20,154.27919134790864,264.47495802853746,249.8267855261179,129.57777657731336,205.4931835753232,168.8218749300249
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],125,20,151.5535737292854,244.05364691685872,242.77321754417696,125.80392684331409,205.6008633725064,166.30032342425523
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,25,141.81076336786822,271.7548258757313,234.84927375633552,130.5591630762689,206.46455025456214,168.84353239223898
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,25,144.19112352650873,274.0180370887289,245.66051252358227,129.29331679783655,203.32302527315244,169.6350387712447
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,25,143.3437622723906,275.41806470986916,256.2713019591084,127.08144366503653,198.75122918960375,171.90185265295992
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,25,150.1976538563833,275.203856898723,256.44616274924084,126.50778803972078,209.497747075834,176.086400630571
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,25,156.24668634266197,272.6496931891491,253.96667718353578,123.57881865834125,205.5502497269566,174.93808527664643
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],130,25,154.18698150546845,267.27840235632465,249.03203086964643,130.46244134660185,205.356058741785,168.52930558465943
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],155,30,141.49658073865643,243.2831021041425,237.12476056949433,132.01783185717582,206.78117332689573,168.33337124619501
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],150,30,143.96665037581226,257.3607652213641,234.77650709476228,130.21674867548546,207.41525988222486,169.49088283876443
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],145,30,145.46850523864168,266.33935341061715,251.938409853138,127.98753767675689,205.02255323867968,169.95581797509237
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],140,30,150.97399449016632,270.88058280716007,249.50204832791155,126.2786368425398,197.79945248431454,171.82110102943088
STORAGE70.0[GWh]GENERATER SPECS0.110[GW],135,30,155.71955327186222,271.3147763193908,252.39271400733034,124.10352305299672,206.5275163028428,166.7116150957471
