STORAGE[GWh],2017 POWER GENERATION[GWh],2018 POWER GENERATION[GWh],2019 POWER GENERATION[GWh],2020 POWER GENERATION[GWh],2021 POWER GENERATION[GWh],2022 POWER GENERATION[GWh]
10.0,86.6522324518776,135.36898084981053,119.00389547643381,59.64211919800006,119.13621979862543,103.06668970560979
15.0,100.16266622934889,162.22690172218114,153.18813629861248,80.90046177320885,155.74799254208443,118.06912302959918
20.0,109.65330731325076,200.38988766812048,189.20248727003744,98.55493317534794,173.84174895466663,132.24059192122098
25.0,122.13002369911952,214.1795240008476,189.5906755679148,113.89336195458128,178.13408011642403,146.31839992338882
30.0,137.04020436486383,230.41590511433094,198.64110946762568,113.21209106743724,180.07366762379615,152.66691847231897
35.0,126.33781545468966,237.67380632259332,217.5941098913926,110.72519452034965,191.23549687023942,155.73915884282684
40.0,137.86211455964315,252.3978528325046,207.30629742502563,118.49648424223173,196.07814364944068,155.54164791580297
45.0,138.2395909275061,251.60194939850098,216.46454628044924,125.39221864405782,203.71348892664312,156.40484278726976
50.0,148.23372747093364,242.73128278994196,215.0739944742237,128.34181424668373,193.1944429123156,150.96620554469672
55.0,139.19996589476537,244.96019234215325,221.78019159365903,137.36810785313665,200.76932243352178,155.52659168089028
60.0,143.99879679343533,247.57279224250638,235.63941924862033,140.4925671461217,201.23079360657758,155.0398227522805
65.0,139.96273249343798,255.68124703071436,246.74126595399568,129.97503348408677,200.23186992221875,160.5365475924888
70.0,143.41358140822263,272.01943633561575,238.87247235283542,129.64262598243246,205.43734945266178,169.12914801189544
75.0,144.740157203444,269.8273335059282,225.54289235189975,125.29840625769995,205.06941572440002,173.32035090813014
80.0,140.13797714501425,262.12639435899143,236.29941129633173,134.66043764773696,204.70957504706217,167.53043170048042
85.0,142.04086651901133,265.8147714070824,243.92635424654858,138.42176512031455,204.35713775035046,171.96061180808323
90.0,142.45465092588165,269.5933134488342,249.4002612119662,128.38486912188822,204.0115441593512,163.75987916336555
95.0,142.05392320273546,260.884476869217,249.53885545021257,128.08561680766982,199.99623930486317,166.201592442032
100.0,148.0645054260131,258.63103018663327,254.2281948509469,127.79157153129982,199.67292515200685,162.5175327030721
105.0,150.1169814789913,265.06782474780607,256.30515901067247,127.70122151730536,199.3549574910993,170.20730405771752
110.0,153.79046739499992,256.17134426589433,258.58423488157695,127.36323860613409,198.74461891508685,168.57488721762894
115.0,144.0569716037457,258.40278113485186,258.0657534361683,127.0303400765191,198.4278676216778,167.33378795082368
120.0,143.93880494424923,258.1171856833,248.52236523317927,126.70223311992382,198.1156754861395,171.06845446875974
