STORAGE[GWh],2017 POWER GENERATION[GWh],2018 POWER GENERATION[GWh],2019 POWER GENERATION[GWh],2020 POWER GENERATION[GWh],2021 POWER GENERATION[GWh],2022 POWER GENERATION[GWh]
10.0,83.94804517707554,126.79507024469002,118.46266156657613,59.25310891821257,119.11065191674183,99.74238379623317
15.0,99.36147880800567,152.598186695879,148.75593305141587,81.0255211067319,123.76697041342912,99.46152991576533
20.0,109.0195827034855,181.10449438291042,164.20023452705541,98.09542837799557,141.88026082610622,128.41312545806286
25.0,115.30525034942576,203.96919771988374,183.56537274059653,101.2352851563738,143.06216924578595,136.7738426101615
30.0,110.13447334552728,218.61883808434803,207.7728777096517,96.68262604477685,145.2699364456446,152.00484879044265
35.0,124.72432187146106,214.96738647757454,197.90372922827123,113.24144478268289,165.76442017885077,146.8742196824221
40.0,138.90638206181126,226.61145438104194,206.30938268183704,129.26491005107277,173.19295657091843,143.06648621868837
45.0,122.27257882981043,222.07403652124526,230.09768610177846,106.58490810136529,181.1265312196546,150.79350721127048
50.0,131.70394827068822,237.51754456560735,214.1080001656442,113.34634393391148,184.19716690375967,154.89535015924875
55.0,143.48403917080836,222.15610872351493,234.3578700254976,127.65902590953169,176.88954244548586,146.72354961443367
60.0,139.35358445354092,241.4192045237941,223.46826224125323,134.01643487383205,178.71051595575838,150.4273183234998
65.0,147.8024576123854,245.3831735036232,221.8282141487019,115.1803174416533,197.31338265621326,156.75126970964527
70.0,135.94553093971837,261.17521412335265,237.08495530229808,112.6817380573594,180.62288707812579,168.22895454460638
75.0,136.56088296635372,241.40334308184222,241.8350406510305,120.19517121313903,180.79381398187874,166.6143560764654
80.0,138.86468661572113,254.2133439557574,243.30138955213644,119.55657814884658,184.84301595439817,173.9392734961264
85.0,146.789086913852,241.61293301932272,217.51603826586202,132.7276209211978,187.5701397334508,170.02604981528944
90.0,153.0536619538076,252.89424946618055,228.76239535750884,136.30447195667395,197.38629439627206,157.95402727976608
95.0,142.30398802971277,241.68230408549726,228.80082488984428,112.03927762611535,198.01638289938873,165.54591659818917
100.0,134.962346322405,241.2573934872642,233.2090230820701,111.4658027753241,200.0970127578377,153.63132912842056
105.0,150.12934951712313,253.43472443021167,240.24406502430145,116.87064200419212,192.9946384009536,157.1803824859601
110.0,154.42252415797782,253.9160416538035,248.09017819252847,120.44455610930947,200.55513192578675,155.21142020530357
115.0,143.716130387579,245.49223093225672,241.97266060932364,130.90839429922934,196.5587967454637,157.5020531428972
120.0,137.04146873757358,252.3880030115727,249.02771704270984,133.63885673706508,187.11802136256938,155.40248898041793
125.0,141.96669140049127,260.4008209933514,252.42222720953288,110.08744382861552,190.5956347382074,161.43546039790147
130.0,146.20668424936832,268.7292992468438,237.7960516884353,110.78549379416133,198.4020711340001,165.19189324379104
135.0,149.78933334323912,277.0613800322246,229.8258155532145,108.28121412912154,200.99427249058078,168.77421896495744
140.0,136.37977250005557,260.20388781817525,237.57713353457805,112.5511343830834,195.0579399856523,163.9763350820602
145.0,133.3126596260735,246.42568432673949,245.1780574343606,116.16299742924714,200.80456070647767,164.57588386586494
150.0,130.05295185313432,253.9115808594352,240.70748642041423,120.51075601537721,203.86415667342314,163.9920626786794
155.0,133.51995151289535,248.21488573002728,248.27142158901785,124.10399541285982,199.95531975050366,166.10003447897185
160.0,138.37246844337548,256.27634130326476,243.03634744246446,125.05171217604628,204.22328072961156,160.59671086998222
165.0,142.26618493537376,264.446070024861,247.4122955555993,124.6785372408541,194.8726262897674,164.30001270674214
170.0,145.63269769787345,261.28110475490644,249.87880641117192,124.30911344235217,186.5889524041725,168.6684396093382
175.0,148.13615151542274,269.88996265430546,244.26944940048517,123.94329435323755,190.45524016708487,171.97671446105937
180.0,144.46878422997105,271.4713524281337,239.37154927834442,123.58094326552968,193.94984584650874,157.83800898146086
185.0,147.4286926850458,270.50113244330424,242.43955564620146,123.22193229434743,196.8899811803996,161.93957805612678
190.0,147.07975933719933,261.7847731864897,240.69418995751096,122.8661415862382,197.54790994723888,165.66722626961837
195.0,146.7338738314048,270.0428704410986,243.91137599826965,122.51345861743948,195.0053752624272,167.692620301782
200.0,146.39093238902447,269.9791282164947,234.7898163148302,122.16377756981949,200.08468165321474,164.7156180141494
