unixtime,datetime,TARGET LOCATION,TARGET LAT,TARGET LON,TARGET DISTANCE[km],TARGET TYPHOON,TARGET TY LAT,TARGET TY LON,TPGSHIP LAT,TPGSHIP LON,TPG_TY DISTANCE[km],BRANCH CONDITION,TPGSHIP STATUS,SHIP SPEED[kt],TIMESTEP POWER GENERATION[Wh],TOTAL GENE TIME[h],TOTAL POWER GENERATION[Wh],TIMESTEP POWER CONSUMPTION[Wh],TOTAL CONS TIME[h],TOTAL POWER CONSUMPTION[Wh],ONBOARD POWER STORAGE PER[%],ONBOARD POWER STORAGE STATUS,ONBOARD ENERGY STORAGE[Wh],YEARLY POWER GENERATION BALANCE
1600084800,2020-09-14T12:00:00.000000+0000,Standby position,24,153,0,0,0,0,24,153, ,arrival at standby position,0,0,0,510,7.038e10,0,1194,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600106400,2020-09-14T18:00:00.000000+0000,2012,21.6,135,1773.3828312499509,2012,0,0,23.88,152.1, ,tracking typhoon,2,8.395349731549384,0,510,7.038e10,0,1200,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600128000,2020-09-15T00:00:00.000000+0000,2012,21.6,135,1680.8805501066713,2012,0,0,23.759999999999998,151.2, ,tracking typhoon,2,8.399562498815651,0,510,7.038e10,0,1206,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600149600,2020-09-15T06:00:00.000000+0000,2012,21.6,135,1588.277271103758,2012,0,0,23.639999999999997,150.29999999999998, ,tracking typhoon,2,8.403730452097188,0,510,7.038e10,0,1212,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600171200,2020-09-15T12:00:00.000000+0000,2012,21.6,135,1495.5745600667492,2012,0,0,23.519999999999996,149.39999999999998, ,tracking typhoon,2,8.407854101044753,0,510,7.038e10,0,1218,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600192800,2020-09-15T18:00:00.000000+0000,2012,21.6,135,1402.773959016687,2012,0,0,23.399999999999995,148.49999999999997, ,tracking typhoon,2,8.411933945659811,0,510,7.038e10,0,1224,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600214400,2020-09-16T00:00:00.000000+0000,2012,21.6,135,1309.8769867223627,2012,0,0,23.279999999999994,147.59999999999997, ,tracking typhoon,2,8.415970476462006,0,510,7.038e10,0,1230,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600236000,2020-09-16T06:00:00.000000+0000,2012,21.6,135,1216.885139241083,2012,0,0,23.159999999999993,146.69999999999996, ,tracking typhoon,2,8.419964174652645,0,510,7.038e10,0,1236,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600257600,2020-09-16T12:00:00.000000+0000,2012,21.6,135,1123.799890448301,2012,0,0,23.039999999999992,145.79999999999995, ,tracking typhoon,2,8.423915512274206,0,510,7.038e10,0,1242,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600279200,2020-09-16T18:00:00.000000+0000,2012,21.6,135,1030.6226925563878,2012,0,0,22.919999999999995,144.89999999999995, ,tracking typhoon,2,8.427824952366068,0,510,7.038e10,0,1248,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600300800,2020-09-17T00:00:00.000000+0000,2012,21.6,135,937.3549766228772,2012,0,0,22.799999999999994,143.99999999999994, ,tracking typhoon,2,8.431692949116334,0,510,7.038e10,0,1254,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600322400,2020-09-17T06:00:00.000000+0000,2012,21.6,135,843.9981530484491,2012,0,0,22.679999999999993,143.09999999999994, ,tracking typhoon,2,8.435519948010054,0,510,7.038e10,0,1260,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600344000,2020-09-17T12:00:00.000000+0000,2012,21.6,135,750.5536120649723,2012,0,0,22.559999999999995,142.19999999999993, ,tracking typhoon,2,8.439306385973612,0,510,7.038e10,0,1266,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600365600,2020-09-17T18:00:00.000000+0000,2012,21.6,135,657.0227242138724,2012,0,0,22.439999999999998,141.29999999999995, ,tracking typhoon,2,8.443052691515616,0,510,7.038e10,0,1272,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600387200,2020-09-18T00:00:00.000000+0000,2012,21.6,135,563.4068408151093,2012,0,0,22.319999999999997,140.39999999999995, ,tracking typhoon,2,8.446759284864141,0,510,7.038e10,0,1278,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600408800,2020-09-18T06:00:00.000000+0000,2012,21.6,135,469.70729442706374,2012,0,0,22.199999999999996,139.49999999999994, ,tracking typhoon,2,8.450426578,0,510,7.038e10,0,1284,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600430400,2020-09-18T12:00:00.000000+0000,2012,21.6,135,375.9253992975707,2012,0,0,22.08,138.59999999999997, ,tracking typhoon,2,8.454054975289123,0,510,7.038e10,0,1290,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600452000,2020-09-18T18:00:00.000000+0000,2012,21.6,135,282.0624518063688,2012,0,0,21.959999999999997,137.69999999999996, ,tracking typhoon,2,8.457644872605533,0,510,7.038e10,0,1296,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600473600,2020-09-19T00:00:00.000000+0000,2012,21.6,135,188.11973089928907,2012,0,0,21.84,136.79999999999998, ,tracking typhoon,2,8.461196658458388,0,510,7.038e10,0,1302,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600495200,2020-09-19T06:00:00.000000+0000,2012,21.6,135,94.09849851,2012,0,0,21.72,135.89999999999998, ,tracking typhoon,2,8.464710713610918,0,510,7.038e10,0,1308,3249998695.1627727,10,1,6000000000,6.713000130483723e10
1600516800,2020-09-19T12:00:00.000000+0000,2012,21.6,135,0,2012,21.6,135,21.6,135,,arrived at typhoon,1,20,828000000,516,7.1208e10,0,1308,3249998695.1627727,11.379999999999999,1,6828000000,6.795800130483723e10
1600538400,2020-09-19T18:00:00.000000+0000,2012,22.3,134.5,0,2012,22.3,134.5,22.3,134.5,,arrived at typhoon,1,20,828000000,522,7.2036e10,0,1308,3249998695.1627727,12.76,1,7656000000,6.878600130483723e10
