"MODEL(ST,GE)",BASE LON,BASE LAT,2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],155,20,104.82579161563362,182.6457054215037,171.69434609599494,105.75715320144707,157.89323415770465,117.98314704598609
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],150,20,110.073039670388,203.10340151186244,193.31607098056114,110.94568219031447,169.92707795844223,132.8654698830609
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],145,20,112.83680960631077,218.38645674826668,198.42565892456182,103.00397219767007,171.94942182396855,136.49361683286733
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],140,20,115.45948222511484,230.41054728565408,200.43304984876997,100.41020700428925,173.20274486727064,141.5216511313413
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],135,20,123.58922430854439,237.07989843005893,197.89816870380537,100.24203979196902,176.28419169668672,144.47404516254656
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],130,20,119.85971794497533,230.73743065087234,194.11074943059097,112.80473064420252,171.93098899146386,141.14316157719608
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],125,20,113.49434933838913,205.93939517587793,176.02945764456882,111.72166756693689,169.994158472955,137.02295372371879
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],155,25,109.09199913952958,192.53424664942767,171.53683847484,97.92239818832302,159.48542457737125,122.68569441122413
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],150,25,119.92961608664383,204.53242576171988,193.50839357806845,97.93143435887893,174.21737492384392,132.2910071580179
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],145,25,126.39349100374096,209.79069692537524,192.90625879191214,105.82472666125351,174.3042360563808,134.94415786965223
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],140,25,120.06129010418853,222.04823330451256,185.55911194162354,107.10727091823487,175.73672944103046,141.25218507892063
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],135,25,127.72125196735516,227.21484225431809,185.38446215057925,105.52239168462047,182.49806179725664,141.49901183544856
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],130,25,127.61922296564319,224.3268625457385,176.56943883695843,102.64611722343456,169.17707410202362,138.08887207031088
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],155,30,108.5118862066553,187.82400160088594,159.34240869698488,97.54721593695346,161.95594973492686,117.78696751943042
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],150,30,118.61640020326445,202.7244836116628,181.903173935024,104.07562329568262,174.98509845853894,131.49681884193183
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],145,30,122.15419897116536,207.8202269157474,188.28387091182586,109.00003653361838,161.4004491139119,131.02395649431043
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],140,30,118.44352883866446,209.63646143492554,181.5325507323071,111.0751534410419,168.36433566317692,131.5217497575277
STORAGE20.0[GWh]GENERATER SPECS0.110[GW],135,30,112.30088290041196,215.8107372999429,183.07205477585654,111.00714517195091,165.75536108228738,134.4648365588918
