unixtime,datetime,targetLAT,targetLON,LAT,LON,STORAGE[Wh],STORAGE PER[%],BRANCH CONDITION
1577836800,2020-01-01T00:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1577858400,2020-01-01T06:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1577880000,2020-01-01T12:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1577901600,2020-01-01T18:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1577923200,2020-01-02T00:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1577944800,2020-01-02T06:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1577966400,2020-01-02T12:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1577988000,2020-01-02T18:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578009600,2020-01-03T00:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578031200,2020-01-03T06:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578052800,2020-01-03T12:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578074400,2020-01-03T18:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578096000,2020-01-04T00:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578117600,2020-01-04T06:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578139200,2020-01-04T12:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578160800,2020-01-04T18:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578182400,2020-01-05T00:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578204000,2020-01-05T06:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578225600,2020-01-05T12:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578247200,2020-01-05T18:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578268800,2020-01-06T00:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578290400,2020-01-06T06:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578312000,2020-01-06T12:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578333600,2020-01-06T18:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578355200,2020-01-07T00:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578376800,2020-01-07T06:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578398400,2020-01-07T12:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
1578420000,2020-01-07T18:00:00.000000+0000,NaN,NaN,34.75,134.79,0.0,0.0,no action
