,Unnamed: 0,DATA NUMBER,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
0,0,0,2021,2,16,6,2101,DUJUAN,2,6.9,136.9,1004,0,0,0,0,0,0,0,0,2021/2/16 6:00,1613455200
1,1,1,2021,2,16,12,2101,DUJUAN,2,6.9,136.2,1006,0,0,0,0,0,0,0,0,2021/2/16 12:00,1613476800
2,2,2,2021,2,16,18,2101,DUJUAN,2,6.8,135.1,1004,0,0,0,0,0,0,0,0,2021/2/16 18:00,1613498400
3,3,3,2021,2,17,0,2101,DUJUAN,2,6.6,134.2,1004,0,0,0,0,0,0,0,0,2021/2/17 0:00,1613520000
4,4,4,2021,2,17,6,2101,DUJUAN,2,6.5,133.7,1002,0,0,0,0,0,0,0,0,2021/2/17 6:00,1613541600
5,5,5,2021,2,17,12,2101,DUJUAN,2,6.5,133.2,1004,0,0,0,0,0,0,0,0,2021/2/17 12:00,1613563200
6,6,6,2021,2,17,18,2101,DUJUAN,2,6.7,132.7,1002,0,0,0,0,0,0,0,0,2021/2/17 18:00,1613584800
7,7,7,2021,2,18,0,2101,DUJUAN,3,7,132.6,1000,35,0,0,0,7,210,120,0,2021/2/18 0:00,1613606400
8,8,8,2021,2,18,6,2101,DUJUAN,3,7.3,132.1,998,35,0,0,0,7,210,120,0,2021/2/18 6:00,1613628000
9,9,9,2021,2,18,12,2101,DUJUAN,3,7.2,131.9,996,40,0,0,0,7,210,120,0,2021/2/18 12:00,1613649600
10,10,10,2021,2,18,18,2101,DUJUAN,3,7.1,131.6,996,40,0,0,0,7,210,120,0,2021/2/18 18:00,1613671200
11,11,11,2021,2,19,0,2101,DUJUAN,3,6.9,131.1,996,40,0,0,0,7,210,120,0,2021/2/19 0:00,1613692800
12,12,12,2021,2,19,6,2101,DUJUAN,3,6.7,130.4,996,40,0,0,0,7,210,120,0,2021/2/19 6:00,1613714400
13,13,13,2021,2,19,12,2101,DUJUAN,3,6.1,130.5,998,40,0,0,0,7,300,120,0,2021/2/19 12:00,1613736000
14,14,14,2021,2,19,18,2101,DUJUAN,3,6.1,130.9,998,40,0,0,0,7,300,120,0,2021/2/19 18:00,1613757600
15,15,15,2021,2,20,0,2101,DUJUAN,3,6.3,131.3,998,40,0,0,0,7,400,120,0,2021/2/20 0:00,1613779200
16,16,16,2021,2,20,6,2101,DUJUAN,3,6.9,131.1,998,40,0,0,0,7,400,120,0,2021/2/20 6:00,1613800800
17,17,17,2021,2,20,12,2101,DUJUAN,3,7.3,130.4,1000,35,0,0,0,7,400,120,0,2021/2/20 12:00,1613822400
18,18,18,2021,2,20,18,2101,DUJUAN,3,7.8,129.7,1000,35,0,0,0,7,350,180,0,2021/2/20 18:00,1613844000
19,19,19,2021,2,21,0,2101,DUJUAN,3,8.3,129.1,1000,35,0,0,0,7,350,180,0,2021/2/21 0:00,1613865600
20,20,20,2021,2,21,6,2101,DUJUAN,3,9,128.4,1000,35,0,0,0,7,350,180,0,2021/2/21 6:00,1613887200
28,28,28,2021,4,12,18,2102,SURIGAE,2,7.6,138,1006,0,0,0,0,0,0,0,0,2021/4/12 18:00,1618250400
29,29,29,2021,4,13,0,2102,SURIGAE,2,7.6,137.8,1006,0,0,0,0,0,0,0,0,2021/4/13 0:00,1618272000
30,30,30,2021,4,13,6,2102,SURIGAE,2,7.7,137.6,1004,0,0,0,0,0,0,0,0,2021/4/13 6:00,1618293600
31,31,31,2021,4,13,12,2102,SURIGAE,2,7.8,137.4,1004,0,0,0,0,0,0,0,0,2021/4/13 12:00,1618315200
32,32,32,2021,4,13,18,2102,SURIGAE,3,7.9,137.2,1002,35,0,0,0,9,150,150,0,2021/4/13 18:00,1618336800
33,33,33,2021,4,14,0,2102,SURIGAE,3,8.1,137,1000,40,0,0,0,9,150,150,0,2021/4/14 0:00,1618358400
34,34,34,2021,4,14,6,2102,SURIGAE,3,8.3,136.9,998,40,0,0,0,9,150,150,0,2021/4/14 6:00,1618380000
35,35,35,2021,4,14,12,2102,SURIGAE,3,8.4,136.7,994,45,0,0,0,9,150,150,0,2021/4/14 12:00,1618401600
36,36,36,2021,4,14,18,2102,SURIGAE,3,8.5,136.5,994,45,0,0,0,9,150,150,0,2021/4/14 18:00,1618423200
37,37,37,2021,4,15,0,2102,SURIGAE,4,8.6,136.3,990,50,0,0,0,9,150,150,0,2021/4/15 0:00,1618444800
38,38,38,2021,4,15,6,2102,SURIGAE,4,8.6,136.1,985,55,9,30,30,9,150,150,0,2021/4/15 6:00,1618466400
39,39,39,2021,4,15,12,2102,SURIGAE,5,8.6,135.8,975,65,9,40,40,9,150,150,0,2021/4/15 12:00,1618488000
40,40,40,2021,4,15,18,2102,SURIGAE,5,8.7,135.3,970,70,9,50,50,9,210,210,0,2021/4/15 18:00,1618509600
41,41,41,2021,4,16,0,2102,SURIGAE,5,8.9,134.6,965,75,9,60,60,9,210,210,0,2021/4/16 0:00,1618531200
42,42,42,2021,4,16,6,2102,SURIGAE,5,9.2,133.8,955,80,9,60,60,9,240,240,0,2021/4/16 6:00,1618552800
43,43,43,2021,4,16,12,2102,SURIGAE,5,9.5,133.1,950,85,9,80,80,9,240,240,0,2021/4/16 12:00,1618574400
44,44,44,2021,4,16,18,2102,SURIGAE,5,10,132.1,940,90,9,100,100,9,240,240,0,2021/4/16 18:00,1618596000
45,45,45,2021,4,17,0,2102,SURIGAE,5,10.7,131.1,935,95,9,120,120,9,240,240,0,2021/4/17 0:00,1618617600
46,46,46,2021,4,17,6,2102,SURIGAE,5,11.4,130.1,925,100,9,120,120,9,240,240,0,2021/4/17 6:00,1618639200
47,47,47,2021,4,17,12,2102,SURIGAE,5,12.1,129.2,905,110,9,120,120,9,240,240,0,2021/4/17 12:00,1618660800
48,48,48,2021,4,17,18,2102,SURIGAE,5,12.6,128.4,895,120,9,120,120,9,240,240,0,2021/4/17 18:00,1618682400
49,49,49,2021,4,18,0,2102,SURIGAE,5,13.1,127.7,895,120,9,120,120,9,240,240,0,2021/4/18 0:00,1618704000
50,50,50,2021,4,18,6,2102,SURIGAE,5,13.4,127.1,900,115,9,120,120,9,240,240,0,2021/4/18 6:00,1618725600
